Tanggal,qty,Jumlah
2016-01-01,836,5600932
2016-01-02,964,6460341
2016-01-03,1900,12727990
2016-01-04,1944,13023929
2016-01-05,7653,43238490
2016-01-06,30,169500
2016-01-07,729,4120997
2016-01-08,2893,16347089
2016-01-09,2658,15015045
2016-01-10,1222,6905826
2016-01-11,2519,14232859
2016-01-12,2983,16851973
2016-01-13,2945,16640268
2016-01-14,531,2999642
2016-01-15,688,3889008
2016-01-16,2237,12638146
2016-01-17,1442,8148374
2016-01-18,2432,13740348
2016-01-19,2546,14384618
2016-01-20,2451,13850015
2016-01-21,1893,10695790
2016-01-22,1716,9697717
2016-01-23,266,1503126
2016-01-26,835,4718428
2016-01-27,2667,15069963
2016-01-28,1959,11065525
2016-01-29,1704,9629069
2016-01-30,1912,10802292
2016-01-31,1281,7239572
2016-02-01,2407,13598929
2016-02-02,2763,15611515
2016-02-03,532,3003484
2016-02-04,1087,6140703
2016-02-05,1440,8137113
2016-02-06,2017,11395542
2016-02-08,3991,22549376
2016-02-09,2862,16167532
2016-02-10,1738,9818118
2016-02-11,2959,16717673
2016-02-12,36,203739
2016-02-14,44,249109
2016-02-16,764,4315018
2016-02-17,773,4366998
2016-02-18,420,2374808
2016-02-19,1981,11189882
2016-02-20,739,4175350
2016-02-21,1311,7407490
2016-02-22,1527,8625064
2016-02-23,1832,10348823
2016-02-24,1719,9710712
2016-02-25,2957,16705073
2016-02-26,1345,7600719
2016-02-27,55,310750
2016-03-06,34,192213
2016-03-08,1931,10908512
2016-03-09,1578,8915135
2016-03-10,2763,15609594
2016-03-11,2764,15614623
2016-03-12,1238,6995152
2016-03-13,1605,9066047
2016-03-14,2759,15588181
2016-03-15,1449,8184421
2016-03-18,35,200067
2016-03-19,51,285834
2016-03-20,473,2670247
2016-03-21,2103,11881329
2016-03-22,2986,16871522
2016-03-23,2290,12937258
2016-03-24,1745,9861906
2016-03-25,1129,6376308
2016-03-26,1224,6913114
2016-03-27,997,5635310
2016-03-28,3332,18827948
2016-03-29,45,254250
2016-04-01,1800,9268301
2016-04-02,1101,5669534
2016-04-03,740,3811104
2016-04-04,2582,13295446
2016-04-05,1851,9533783
2016-04-06,2061,10616623
2016-04-07,1493,7687354
2016-04-08,2489,12817990
2016-04-09,1954,10064903
2016-04-10,69,354166
2016-04-12,498,2566297
2016-04-13,722,3716034
2016-04-14,3235,16661950
2016-04-15,1707,8790999
2016-04-16,2329,11992702
2016-04-17,1500,7726597
2016-04-18,2649,13640599
2016-04-19,2180,11228803
2016-04-22,35,178139
2016-04-23,2900,14936648
2016-04-24,759,3909623
2016-04-25,2209,11377432
2016-04-26,4416,22744924
2016-04-27,1889,9729792
2016-04-28,2920,15038413
2016-04-29,1814,9341730
2016-04-30,22,112888
2016-05-05,380,1954631
2016-05-06,1826,9402303
2016-05-07,2576,13266504
2016-05-08,852,4387234
2016-05-09,2726,14037149
2016-05-10,3335,17175869
2016-05-11,1631,8397951
2016-05-12,1991,10255762
2016-05-14,791,4074423
2016-05-15,349,1797711
2016-05-16,3153,16240423
2016-05-17,3009,15496762
2016-05-18,2530,13031303
2016-05-19,1940,9993215
2016-05-20,2630,13546611
2016-05-21,1217,6269816
2016-05-22,680,3501073
2016-05-24,1163,5990841
2016-05-25,1685,8676154
2016-05-26,2885,14860068
2016-05-27,2089,10756599
2016-05-28,2180,11226691
2016-05-29,2068,10648707
2016-05-30,2573,13248787
2016-05-31,1565,8058308
2016-06-17,1040,5354661
2016-06-18,1112,5728036
2016-06-19,1606,8270437
2016-06-20,2785,14341463
2016-06-21,2732,14071603
2016-06-22,1805,9293742
2016-06-23,2661,13701627
2016-06-24,1668,8589015
2016-06-25,2651,13654968
2016-06-26,559,2880035
2016-06-27,590,3037368
2016-06-28,1024,5271901
2016-06-29,2943,15154648
2016-06-30,995,5124714
2016-07-01,1746,8989429
2016-07-02,1383,7120957
2016-07-03,705,3630236
2016-07-04,1217,6268529
2016-07-05,710,3657067
2016-07-06,421,2168872
2016-07-07,488,2513252
2016-07-09,60,307816
2016-07-11,966,4975982
2016-07-12,2342,12061193
2016-07-13,2880,14830403
2016-07-14,2423,12476288
2016-07-15,2417,12448323
2016-07-16,1799,9263820
