PREMIUM;;
Tanggal;Jumlah ( Penjualan );
;qty (L);Jumlah (Rp)
2016-01-01;8.694;63.467.076
2016-01-02;10.044;73.320.032
2016-01-03;13.928;101.671.188
2016-01-04;12.518;91.382.972
2016-01-05;11.112;77.424.375
2016-01-06;11.606;80.663.279
2016-01-07;9.673;67.228.046
2016-01-08;9.382;65.207.889
2016-01-09;10.501;72.983.479
2016-01-10;10.659;74.081.582
2016-01-11;4.043;28.097.877
2016-01-12;6.669;46.349.402
2016-01-13;9.336;64.885.825
2016-01-14;7.159;49.752.062
2016-01-15;9.456;65.718.922
2016-01-16;6.275;43.613.405
2016-01-17;8.963;62.289.375
2016-01-18;3.161;21.970.757
2016-01-19;3.728;25.911.964
2016-01-20;8.489;58.997.439
2016-01-21;8.189;56.914.871
2016-01-22;8.041;55.883.421
2016-01-23;10.109;70.259.010
2016-01-24;9.796;68.084.772
2016-01-25;8.856;61.549.826
2016-01-26;8.349;58.027.358
2016-01-27;8.144;56.603.649
2016-01-28;8.357;58.079.135
2016-01-29;6.981;48.516.769
2016-01-30;9.198;63.925.336
2016-01-31;3;28.983
2016-02-01;1;9.661
2016-02-02;38;263.197
2016-02-03;8.771;60.955.114
2016-02-04;9.175;63.766.807
2016-02-05;10.057;69.892.884
2016-02-06;5.645;39.221.423
2016-02-07;8.955;62.240.239
2016-02-08;4.735;32.906.026
2016-02-09;10.847;75.383.384
2016-02-10;4.806;33.399.546
2016-02-11;1.771;12.308.728
2016-02-12;9.228;64.132.446
2016-02-13;9.368;65.110.797
2016-02-14;9.997;69.479.498
2016-02-15;1.402;9.741.120
2016-02-16;6.034;41.937.482
2016-02-17;10.230;71.096.694
2016-02-18;9.339;64.906.050
2016-02-19;9.142;63.538.846
2016-02-20;9.508;66.082.060
2016-02-21;10.598;73.653.668
2016-02-22;8.086;56.198.743
2016-02-23;8.558;59.479.977
2016-02-24;9.304;64.665.789
2016-02-25;9.220;64.081.989
