Tanggal,qty,Jumlah
2016-01-01,8694,63467076
2016-01-02,10044,73320032
2016-01-03,13928,101671188
2016-01-04,12518,91382972
2016-01-05,11112,77424375
2016-01-06,11606,80663279
2016-01-07,9673,67228046
2016-01-08,9382,65207889
2016-01-09,10501,72983479
2016-01-10,10659,74081582
2016-01-11,4043,28097877
2016-01-12,6669,46349402
2016-01-13,9336,64885825
2016-01-14,7159,49752062
2016-01-15,9456,65718922
2016-01-16,6275,43613405
2016-01-17,8963,62289375
2016-01-18,3161,21970757
2016-01-19,3728,25911964
2016-01-20,8489,58997439
2016-01-21,8189,56914871
2016-01-22,8041,55883421
2016-01-23,10109,70259010
2016-01-24,9796,68084772
2016-01-25,8856,61549826
2016-01-26,8349,58027358
2016-01-27,8144,56603649
2016-01-28,8357,58079135
2016-01-29,6981,48516769
2016-01-30,9198,63925336
2016-01-31,3,28983
2016-02-01,1,9661
2016-02-02,38,263197
2016-02-03,8771,60955114
2016-02-04,9175,63766807
2016-02-05,10057,69892884
2016-02-06,5645,39221423
2016-02-07,8955,62240239
2016-02-08,4735,32906026
2016-02-09,10847,75383384
2016-02-10,4806,33399546
2016-02-11,1771,12308728
2016-02-12,9228,64132446
2016-02-13,9368,65110797
2016-02-14,9997,69479498
2016-02-15,1402,9741120
2016-02-16,6034,41937482
2016-02-17,10230,71096694
2016-02-18,9339,64906050
2016-02-19,9142,63538846
2016-02-20,9508,66082060
2016-02-21,10598,73653668
2016-02-22,8086,56198743
2016-02-23,8558,59479977
2016-02-24,9304,64665789
2016-02-25,9220,64081989
2016-02-26,9113,63333821
2016-02-27,10790,74991196
2016-02-28,29,200786
2016-02-29,9353,65002517
2016-03-01,11717,81430788
2016-03-02,10335,71826096
2016-03-03,4069,28278299
2016-03-04,9729,68629691
2016-03-05,5907,41050454
2016-03-06,10944,76059410
2016-03-07,34,237829
2016-03-08,7963,55342225
2016-03-09,7873,54717768
2016-03-10,86,600758
2016-03-11,3598,25006656
2016-03-12,9646,67036226
2016-03-13,7123,49506380
2016-03-14,8394,58336007
2016-03-15,7694,53473301
2016-03-16,9165,63694874
2016-03-17,2669,18547396
2016-03-18,3769,26197886
2016-03-19,9848,68441933
2016-03-20,9825,68285141
2016-03-21,8411,58456519
2016-03-22,4172,28995678
2016-03-23,8631,59985520
2016-03-24,8982,62426360
2016-03-25,7993,55548223
2016-03-26,1779,12363772
2016-03-27,6983,48528861
2016-03-28,8661,60196174
2016-03-29,2393,16631628
